[2024-06-17T15:19:25.603575+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T15:19:38.170743+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T15:20:03.484697+00:00] after.INFO: Controller:App\Controllers\V1\TasksController, Action:index, Params: [] []
[2024-06-17T15:45:21.985624+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T15:45:50.123082+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T15:47:26.052801+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T15:49:35.322702+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:register, Params: [] []
[2024-06-17T15:49:46.508180+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T16:46:37.332511+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T16:47:33.665237+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T16:48:11.214381+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T16:50:39.177919+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
[2024-06-17T16:55:28.956917+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T17:06:41.268987+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T17:07:02.830050+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T17:23:38.960534+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T17:23:59.178307+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:store, Params: [] []
[2024-06-17T17:41:43.574716+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:42:19.672725+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:43:16.692932+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:49:22.760746+00:00] after.INFO: Controller:App\Controllers\V1\LeadsController, Action:update, Params:1 [] []
[2024-06-17T17:51:06.119125+00:00] after.INFO: Controller:App\Controllers\AuthController, Action:login, Params: [] []
